"Trade Date ","1 USD ","1 GBP ","1 EURO ","100 YEN "
"31-Dec-2010",44.81,69.2852,59.81,55.06
"30-Dec-2010",44.9,69.6938,59.47,55.16
"29-Dec-2010",45.12,69.4284,59.22,54.87
"28-Dec-2010",45.17,69.887,59.75,54.8
"27-Dec-2010",45.15,69.7071,59.32,54.55
"24-Dec-2010",45.23,69.9256,59.34,54.5
"23-Dec-2010",45.02,69.4208,59.12,54.16
"22-Dec-2010",45.13,69.9019,59.32,53.89
"21-Dec-2010",45.26,70.3884,59.61,54.08
"20-Dec-2010",45.38,70.4252,59.77,54.1
"16-Dec-2010",45.39,70.6632,60.05,53.89
"15-Dec-2010",45.32,71.2362,60.27,54.04
"14-Dec-2010",45.01,71.4151,60.31,53.94
"13-Dec-2010",45.25,71.4181,59.69,53.79
"10-Dec-2010",45.22,71.4114,59.99,54.03
"09-Dec-2010",45.17,71.4793,60.04,53.81
"08-Dec-2010",45.12,70.8091,59.63,53.73
"07-Dec-2010",44.84,70.614,59.72,54.27
"06-Dec-2010",44.85,70.6163,59.92,54.13
"03-Dec-2010",45.09,70.4712,59.63,53.94
"02-Dec-2010",45.37,70.877,59.52,53.94
"01-Dec-2010",45.7,71.1869,59.53,54.75
"30-Nov-2010",46.04,71.6106,60.36,54.77
"29-Nov-2010",45.81,71.5186,60.66,54.5
"26-Nov-2010",45.74,71.8873,60.84,54.54
"25-Nov-2010",45.64,71.9127,60.81,54.68
"24-Nov-2010",45.66,72.177,61.12,54.9
"23-Nov-2010",45.61,72.5518,61.8,54.5
"22-Nov-2010",45.29,72.5433,62.27,54.28
"19-Nov-2010",45.26,72.6016,61.78,54.25
"18-Nov-2010",45.45,72.395,61.8,54.64
"16-Nov-2010",45.22,72.5442,61.55,54.52
"15-Nov-2010",45.14,72.7386,61.74,54.43
"12-Nov-2010",44.64,71.6293,60.73,54.2
"11-Nov-2010",44.25,71.4372,60.96,53.81
"10-Nov-2010",44.39,71.0329,61.11,54.25
"09-Nov-2010",44.4,71.5906,61.58,54.89
"08-Nov-2010",44.26,71.4224,61.81,54.49
"04-Nov-2010",44.32,71.4616,62.59,54.84
"03-Nov-2010",44.36,71.098,62.11,55
"02-Nov-2010",44.43,71.3724,61.92,55.16
"01-Nov-2010",44.42,71.4052,62.16,55.22
"29-Oct-2010",44.54,70.9255,61.81,55.21
"28-Oct-2010",44.49,70.401,61.56,54.6
"27-Oct-2010",44.52,70.4663,61.47,54.5
"26-Oct-2010",44.43,70.1017,62.07,55.03
"25-Oct-2010",44.36,69.9225,62.33,54.94
"22-Oct-2010",44.46,69.9845,62.07,54.84
"21-Oct-2010",44.36,70.1842,61.95,54.78
"20-Oct-2010",44.29,69.6726,61.05,54.47
"19-Oct-2010",44.46,70.5069,61.85,54.6
"18-Oct-2010",44.26,70.4,61.45,54.52
"15-Oct-2010",44.03,70.5471,61.95,54.24
"14-Oct-2010",44.18,70.6504,62.25,54.41
"13-Oct-2010",44.5,70.4969,62.09,54.37
"12-Oct-2010",44.74,70.989,61.81,54.68
"11-Oct-2010",44.3,70.6031,61.93,54.05
"08-Oct-2010",44.38,70.3711,61.8,53.87
"07-Oct-2010",44.28,70.3211,61.7,53.46
"06-Oct-2010",44.3,70.4592,61.34,53.26
"05-Oct-2010",44.72,70.7292,61.34,53.43
"04-Oct-2010",44.37,70.0891,61.13,53.25
"01-Oct-2010",44.68,70.2079,60.96,53.53
"29-Sep-2010",44.92,71.1421,61,53.7
"28-Sep-2010",45.13,71.3099,60.66,53.59
"27-Sep-2010",45.04,71.2961,60.62,53.46
"24-Sep-2010",45.54,71.3976,60.75,53.79
"23-Sep-2010",45.59,71.4236,61.1,53.9
"22-Sep-2010",45.53,71.432,60.58,53.6
"21-Sep-2010",45.73,71.2405,59.84,53.44
"20-Sep-2010",45.61,71.4093,59.63,53.23
"17-Sep-2010",45.97,72.166,60.34,53.65
"16-Sep-2010",46.3,72.1933,60.14,54.25
"15-Sep-2010",46.37,71.8387,60.17,54.65
"14-Sep-2010",46.37,71.229,59.63,55.47
"13-Sep-2010",46.31,71.674,59.39,55.23
"09-Sep-2010",46.56,71.8374,59.11,55.65
"08-Sep-2010",46.7,71.8806,59.43,55.89
"07-Sep-2010",46.71,71.7816,59.76,55.59
"06-Sep-2010",46.48,71.958,60.01,55.12
"03-Sep-2010",46.67,71.9861,59.82,55.4
"02-Sep-2010",46.78,72.1418,59.94,55.57
"01-Sep-2010",46.87,72.222,59.6,55.53
"31-Aug-2010",47.08,72.635,59.5,55.96
"30-Aug-2010",46.84,72.7777,59.67,55.13
"27-Aug-2010",46.86,72.6681,59.59,55.31
