"Trade Date ","1 USD ","1 GBP ","1 EURO ","100 YEN "
"29-Dec-2017",63.9273,86.0653,76.3867,56.72
"28-Dec-2017",64.1716,86.221,76.5631,56.89
"27-Dec-2017",64.1577,85.8366,76.2258,56.68
"26-Dec-2017",64.0538,85.672,76.0255,56.53
"22-Dec-2017",64.0409,85.6739,75.8821,56.51
"21-Dec-2017",64.0883,85.6284,76.0344,56.5
"20-Dec-2017",64.0577,85.7604,75.8251,56.7
"19-Dec-2017",64.1205,85.7932,75.6365,56.98
"18-Dec-2017",64.1065,85.5437,75.4277,56.9
"15-Dec-2017",64.0958,86.1319,75.5241,57.13
"14-Dec-2017",64.2798,86.3535,75.998,57.06
"13-Dec-2017",64.4525,85.941,75.7768,56.87
"12-Dec-2017",64.4834,86.0466,75.9292,56.84
"11-Dec-2017",64.3616,86.3282,75.8051,56.68
"08-Dec-2017",64.4649,87.0405,75.7978,56.84
"07-Dec-2017",64.5388,86.3142,76.0848,57.33
"06-Dec-2017",64.4467,86.4939,76.2791,57.42
"05-Dec-2017",64.3764,86.6378,76.3762,57.15
"04-Dec-2017",64.3799,86.636,76.3739,57.04
"30-Nov-2017",64.4332,86.798,76.4887,57.46
"29-Nov-2017",64.4058,86.1428,76.3209,57.75
"28-Nov-2017",64.4206,85.8469,76.6992,57.94
"27-Nov-2017",64.6948,86.1605,77.1421,58.1
"24-Nov-2017",64.7328,86.0364,76.7213,58.07
"23-Nov-2017",64.7949,86.3327,76.6264,58.22
"22-Nov-2017",64.7453,85.8523,76.0757,57.75
"21-Nov-2017",65.0386,86.1892,76.3878,57.82
"20-Nov-2017",65.0565,85.9331,76.3633,58.08
"17-Nov-2017",64.8462,85.785,76.5574,57.59
"16-Nov-2017",65.2969,86.0483,76.9981,57.81
"15-Nov-2017",65.3689,85.9143,77.0634,57.76
"14-Nov-2017",65.5171,85.9388,76.4781,57.65
"13-Nov-2017",65.4272,85.8209,76.2161,57.68
"10-Nov-2017",65.0147,85.5463,75.7356,57.34
"09-Nov-2017",64.8967,85.2548,75.3061,57.13
"08-Nov-2017",65.0592,85.5724,75.3841,57.12
"07-Nov-2017",64.8064,85.3371,75.2273,56.85
"06-Nov-2017",64.7267,84.6366,75.1801,56.66
"03-Nov-2017",64.5764,84.4272,75.3348,56.66
"02-Nov-2017",64.593,85.786,75.2831,56.72
"01-Nov-2017",64.5256,85.6706,75.0755,56.7
"31-Oct-2017",64.7745,85.5995,75.4234,57.27
"30-Oct-2017",64.9338,85.375,75.4271,57.13
"28-Oct-2017",64.9338,85.375,75.4271,57.13
"27-Oct-2017",65.0931,85.3826,75.6837,57
"26-Oct-2017",64.7888,85.884,76.6063,57.06
"25-Oct-2017",65.1386,85.4814,76.59,57.19
"24-Oct-2017",64.9256,85.7927,76.3395,57.18
"23-Oct-2017",65.0239,85.8381,76.5136,57.17
"18-Oct-2017",65.0649,85.7425,76.5423,57.93
"17-Oct-2017",64.9226,86.0354,76.4204,57.87
"16-Oct-2017",64.7603,86.0082,76.3912,57.93
"13-Oct-2017",64.9301,86.3051,76.8772,58.01
"12-Oct-2017",65.1003,86.2319,77.2741,57.98
"11-Oct-2017",65.2691,86.1161,77.1677,58.08
"10-Oct-2017",65.2652,85.9412,76.8302,57.95
"09-Oct-2017",65.3074,85.6311,76.599,57.99
"06-Oct-2017",65.2276,85.3112,76.2641,57.72
"05-Oct-2017",65.1758,86.2145,76.5685,57.77
"04-Oct-2017",65.2899,86.6266,76.8266,58
"03-Oct-2017",65.5529,86.8707,76.7756,57.97
"29-Sep-2017",65.3552,87.7067,77.0603,58.03
"28-Sep-2017",65.7604,87.9808,77.1764,58.18
"27-Sep-2017",65.6947,88.1426,77.3686,58.4
"26-Sep-2017",65.3371,88.0744,77.431,58.58
"25-Sep-2017",64.8357,87.9367,77.3036,57.75
"22-Sep-2017",64.9596,88.3061,77.7566,57.99
"21-Sep-2017",64.5256,87.1547,76.7403,57.3
"20-Sep-2017",64.3637,87.0262,77.2493,57.76
"19-Sep-2017",64.1769,86.8121,77.0187,57.45
"18-Sep-2017",64.0371,87.0841,76.4923,57.57
"15-Sep-2017",64.0774,86.12,76.3995,57.92
