"Trade Date ","1 USD ","1 GBP ","1 EURO ","100 YEN "
"30-Dec-2016",67.9547,83.4212,71.6175,58.22
"29-Dec-2016",68.1241,83.418,71.2101,58.41
"28-Dec-2016",68.225,83.8622,71.452,58.06
"27-Dec-2016",67.9967,83.4999,71.0498,57.97
"26-Dec-2016",67.8331,83.3126,70.967,57.96
"23-Dec-2016",67.9117,83.4839,70.9474,57.88
"22-Dec-2016",67.9136,83.914,70.8678,57.73
"21-Dec-2016",67.8724,83.9649,70.6077,57.7
"20-Dec-2016",67.8954,84.102,70.4686,57.66
"19-Dec-2016",67.7262,84.5426,70.8416,57.73
"16-Dec-2016",67.7777,84.2341,70.7531,57.38
"15-Dec-2016",67.7994,85.1154,71.1555,57.72
"14-Dec-2016",67.5604,85.545,71.918,58.66
"13-Dec-2016",67.4867,85.5461,71.7654,58.54
"09-Dec-2016",67.584,85.1289,71.7607,59.06
"08-Dec-2016",67.4325,85.2414,72.6113,59.44
"07-Dec-2016",67.8707,85.8632,72.7506,59.41
"06-Dec-2016",68.0322,86.7274,73.1074,59.68
"05-Dec-2016",68.1703,86.5354,72.0424,60.11
"02-Dec-2016",68.3689,86.2816,73.0385,59.96
"01-Dec-2016",68.3734,85.6992,72.6262,60.01
"30-Nov-2016",68.526,85.5342,72.8431,60.79
"29-Nov-2016",68.6535,85.2265,72.8002,61.25
"28-Nov-2016",68.7235,85.8494,73.1768,61.32
"25-Nov-2016",68.4626,85.2222,72.3855,60.32
"24-Nov-2016",68.656,85.36,72.384,60.9
"23-Nov-2016",68.4772,84.9665,72.7844,61.71
"22-Nov-2016",68.2317,85.1668,72.4348,61.46
"21-Nov-2016",68.2575,84.2025,72.353,61.45
"18-Nov-2016",68.0937,84.4158,72.2134,61.56
"17-Nov-2016",67.9106,84.3178,72.5625,62.1
"16-Nov-2016",67.7791,84.6154,72.8422,62.12
"15-Nov-2016",67.7173,84.4232,72.7758,62.61
"11-Nov-2016",67.0292,84.1753,73.1155,62.94
"10-Nov-2016",66.4273,82.5093,72.7113,63.02
"09-Nov-2016",66.7968,83.4292,74.9727,65.05
"08-Nov-2016",66.7073,82.7104,73.6515,63.91
"07-Nov-2016",66.7301,82.9322,73.8435,63.88
"04-Nov-2016",66.7219,83.1355,74.0546,64.62
"03-Nov-2016",66.6942,82.2473,74.1506,64.95
"02-Nov-2016",66.8294,81.8861,73.9534,64.37
"01-Nov-2016",66.714,81.5579,73.1786,63.68
"28-Oct-2016",66.8566,81.2976,72.9071,63.44
"27-Oct-2016",66.8854,81.6938,72.9385,63.93
"26-Oct-2016",66.7621,81.363,72.8174,64.13
"25-Oct-2016",66.8777,81.7714,72.7897,64.06
"24-Oct-2016",66.8625,81.6725,72.7999,64.43
"21-Oct-2016",66.8943,81.9589,72.975,64.4
"20-Oct-2016",66.7411,81.9114,73.1482,64.35
"19-Oct-2016",66.7145,81.7853,73.2125,64.4
"18-Oct-2016",66.7268,81.7136,73.5463,64.14
"17-Oct-2016",66.7779,81.3088,73.3689,64.12
"14-Oct-2016",66.8481,81.4811,73.6867,64.23
"13-Oct-2016",66.8473,81.3131,73.6657,64.44
"10-Oct-2016",66.5856,82.4796,74.4027,64.56
"07-Oct-2016",66.7875,83.2373,74.2744,64.3
"06-Oct-2016",66.6322,84.6695,74.5814,64.34
"05-Oct-2016",66.5699,84.4772,74.6515,64.7
"04-Oct-2016",66.5559,85.318,74.4428,65.08
"03-Oct-2016",66.533,85.8675,74.7166,65.7
"30-Sep-2016",66.6596,86.4242,74.7521,66.05
"29-Sep-2016",66.5521,86.6109,74.6848,65.43
"28-Sep-2016",66.4482,86.4823,74.4552,66.09
"27-Sep-2016",66.4627,86.3417,74.7373,65.84
"26-Sep-2016",66.7095,86.4689,74.8814,66.13
"23-Sep-2016",66.6519,86.9207,74.6701,66.08
"22-Sep-2016",66.8451,87.3398,75.0203,66.65
"21-Sep-2016",67.0631,87.0077,74.6949,65.49
"20-Sep-2016",67.02,87.374,74.8814,65.86
"19-Sep-2016",66.8737,87.2568,74.6845,65.54
"16-Sep-2016",66.8804,88.4694,75.1535,65.52
"15-Sep-2016",67.0248,88.7073,75.3627,65.58
"14-Sep-2016",66.9642,88.4932,75.2075,64.83
"12-Sep-2016",66.9017,88.7719,75.2176,65.26
"09-Sep-2016",66.5462,88.5863,75.0242,65.13
"08-Sep-2016",66.4483,88.6088,74.7676,65.33
"07-Sep-2016",66.3618,89.0376,74.6902,65.46
"06-Sep-2016",66.5469,88.6471,74.1665,64.2
"02-Sep-2016",66.8405,88.704,74.8012,64.52
"01-Sep-2016",66.9539,88.0511,74.6603,64.78
"31-Aug-2016",66.9813,87.6852,74.6239,64.89
"30-Aug-2016",67.0879,87.6906,74.9439,65.61
"29-Aug-2016",67.181,88.0138,75.1823,65.62
"26-Aug-2016",67.0299,88.5934,75.7371,66.72
"25-Aug-2016",67.0876,88.6563,75.5943,66.84
"24-Aug-2016",67.132,88.386,75.8055,66.9
"23-Aug-2016",67.0885,88.2885,76.0381,67.03
"22-Aug-2016",67.194,87.6747,75.8083,66.67
"19-Aug-2016",66.9296,87.9723,75.8714,66.82
"18-Aug-2016",66.7939,87.2596,75.5773,66.84
"16-Aug-2016",66.8983,86.3389,75.0198,66.68
"12-Aug-2016",66.8252,86.6255,74.4633,65.44
"11-Aug-2016",66.8571,86.9543,74.6526,65.91
"10-Aug-2016",66.7442,87.0411,74.3797,65.84
"09-Aug-2016",66.9633,86.992,74.1752,65.36
"08-Aug-2016",66.7407,87.2768,74.0622,65.4
"05-Aug-2016",66.8141,87.747,74.451,66.13
"04-Aug-2016",66.9447,89.0699,74.5965,65.95
"03-Aug-2016",66.9368,89.0126,74.9893,66.26
"02-Aug-2016",66.7612,88.0313,74.599,65.32
"01-Aug-2016",66.7412,88.4388,74.5165,65.08
"29-Jul-2016",67.034,88.2972,74.2737,64.69
"28-Jul-2016",67.055,88.4254,74.364,64.07
"27-Jul-2016",67.2362,88.3013,73.8859,63.57
"26-Jul-2016",67.368,88.1712,74.1654,64.58
"25-Jul-2016",67.243,88.3506,73.7992,63.37
"22-Jul-2016",67.1355,88.9478,74.0303,63.41
"21-Jul-2016",67.2035,88.9774,74.1523,62.73
"20-Jul-2016",67.172,88.0423,73.99,63.23
"19-Jul-2016",67.1462,88.7203,74.3443,63.35
"18-Jul-2016",67.1015,88.6881,74.1673,63.51
"15-Jul-2016",67.0655,89.9281,74.6037,63.38
"14-Jul-2016",66.9136,88.5468,74.3544,63.38
"13-Jul-2016",67.2046,89.288,74.3484,64.53
"12-Jul-2016",67.1471,87.862,74.446,64.94
"11-Jul-2016",67.1426,86.9161,74.1053,65.89
"08-Jul-2016",67.4584,87.3182,74.7169,67.15
"07-Jul-2016",67.4972,87.6114,74.8274,67
"05-Jul-2016",67.4028,89.1537,75.0328,66.06
"04-Jul-2016",67.1848,89.302,74.8304,65.47
"01-Jul-2016",67.441,89.5482,74.7449,65.67
"30-Jun-2016",67.6166,90.5183,75.0071,65.91
"29-Jun-2016",67.7443,90.4928,75.02,66.21
"28-Jun-2016",67.8867,90.1739,75.0623,66.69
"27-Jun-2016",67.9,90.9113,74.8801,66.69
"24-Jun-2016",68.0144,92.9553,75.1015,66.45
"23-Jun-2016",67.3702,99.4721,76.3776,64.52
"22-Jun-2016",67.557,99.1534,76.0354,64.61
"21-Jun-2016",67.4767,99.2582,76.4511,64.59
"20-Jun-2016",67.4087,98.1538,76.5358,64.44
"17-Jun-2016",67.1682,95.5535,75.4568,64.39
"16-Jun-2016",67.2068,95.2388,75.816,64.55
"15-Jun-2016",67.1596,95.1114,75.2859,63.19
"14-Jun-2016",67.152,95.1007,75.7542,63.46
"13-Jun-2016",67.0737,95.1172,75.5116,63.32
"10-Jun-2016",66.7948,96.5719,75.4714,62.4
"09-Jun-2016",66.625,96.7195,75.8925,62.41
"08-Jun-2016",66.737,97.0823,75.8199,62.26
"07-Jun-2016",66.8305,96.9376,75.9194,62.1
"06-Jun-2016",66.9614,96.17,75.9409,62.6
"03-Jun-2016",67.2415,96.9017,74.9944,61.83
"02-Jun-2016",67.2533,97.0465,75.3035,61.58
"01-Jun-2016",67.3526,97.5333,74.9634,61.31
"31-May-2016",67.203,98.654,74.7902,60.4
"30-May-2016",67.3398,98.4373,74.8415,60.49
"27-May-2016",67.0613,98.3923,75.0885,61.12
"26-May-2016",67.2855,98.9501,75.2185,61.34
"25-May-2016",67.4467,98.5599,75.2098,61.32
