"Trade Date ","1 USD ","1 GBP ","1 EURO ","100 YEN "
"31-Dec-2014",63.3315,98.5818,77.0048,52.93
"30-Dec-2014",63.7498,98.8759,77.3221,53
"29-Dec-2014",63.6539,99.1409,77.6005,52.9
"26-Dec-2014",63.6355,98.9787,77.7435,52.93
"24-Dec-2014",63.4614,98.5111,77.3087,52.73
"23-Dec-2014",63.4475,98.8829,77.6217,52.82
"22-Dec-2014",63.1757,98.851,77.4155,52.88
"19-Dec-2014",63.067,98.7314,77.4589,52.8
"18-Dec-2014",63.3161,98.6781,78.1067,53.39
"17-Dec-2014",63.5813,99.9816,79.394,54.34
"16-Dec-2014",63.4135,99.3055,79.0005,54.09
"15-Dec-2014",62.6529,98.5342,78.0154,52.94
"12-Dec-2014",62.4422,98.1529,77.3846,52.49
"11-Dec-2014",62.2059,97.8001,77.4837,52.68
"10-Dec-2014",61.95,97.1562,76.7499,51.98
"09-Dec-2014",61.875,96.9024,76.2919,51.61
"08-Dec-2014",61.9253,96.3743,76.1,50.98
"05-Dec-2014",61.8535,96.7265,76.5313,51.51
"04-Dec-2014",61.8771,97.0171,76.1274,51.6
"03-Dec-2014",61.8866,96.8278,76.5723,51.93
"02-Dec-2014",61.9255,97.3902,77.2149,52.31
"01-Dec-2014",62.1377,97.0529,77.3677,52.26
"28-Nov-2014",61.9736,97.3667,77.1633,52.45
"27-Nov-2014",61.865,97.691,77.3746,52.71
"26-Nov-2014",61.8658,97.2283,77.2147,52.56
"25-Nov-2014",61.9195,97.1207,76.9288,52.52
"24-Nov-2014",61.7798,96.7842,76.5946,52.41
"21-Nov-2014",61.8505,97.0125,77.6224,52.53
"20-Nov-2014",62.1044,97.3176,77.91,52.34
"19-Nov-2014",61.828,96.5568,77.421,52.71
"18-Nov-2014",61.808,96.7666,77.0931,52.97
"17-Nov-2014",61.678,96.9393,77.3565,53.28
"14-Nov-2014",61.6475,96.54,76.6957,53.04
"13-Nov-2014",61.556,97.0984,76.6126,53.18
"12-Nov-2014",61.4785,97.923,76.7866,53.34
"11-Nov-2014",61.55,97.526,76.482,53.43
"10-Nov-2014",61.4513,97.7567,76.6789,53.86
"07-Nov-2014",61.5205,97.3931,76.1562,53.31
"05-Nov-2014",61.387,98.0043,76.9854,53.76
"03-Nov-2014",61.4118,98.0624,76.6665,54.48
"31-Oct-2014",61.408,98.0624,77.1899,55.28
"30-Oct-2014",61.4636,98.2127,77.4503,56.34
"29-Oct-2014",61.3175,99.0032,78.143,56.76
"28-Oct-2014",61.3524,98.9307,77.9237,56.89
"27-Oct-2014",61.229,98.5297,77.7547,56.71
"22-Oct-2014",61.2355,98.6688,77.965,57.27
"21-Oct-2014",61.2967,99.1597,78.5885,57.63
"20-Oct-2014",61.2873,98.6235,78.1536,57.14
"17-Oct-2014",61.6165,99.1163,78.8938,58.02
"16-Oct-2014",61.4795,98.2381,78.663,57.83
"14-Oct-2014",61.1078,98.1513,77.6802,57.04
"13-Oct-2014",61.2455,98.6849,77.6042,57.08
"10-Oct-2014",61.1624,98.6244,77.6701,56.74
"09-Oct-2014",61.0368,98.6355,77.7426,56.57
"08-Oct-2014",61.4648,98.7678,77.6546,56.69
"07-Oct-2014",61.3595,98.709,77.4664,56.5
"01-Oct-2014",61.7511,100.0677,77.9546,56.24
"30-Sep-2014",61.6135,100.276,78.206,56.36
"29-Sep-2014",61.4273,99.7272,77.9328,56.07
"26-Sep-2014",61.572,100.4239,78.4489,56.45
"25-Sep-2014",61.0245,99.4272,77.8429,55.87
"24-Sep-2014",61.0293,99.9904,78.3738,56.17
"23-Sep-2014",60.8708,99.6333,78.2251,55.98
"22-Sep-2014",60.7875,99.2964,78.1606,55.83
"19-Sep-2014",60.8055,100.0615,78.4695,55.73
"18-Sep-2014",61.0558,99.5515,78.5727,56.13
"17-Sep-2014",60.954,99.3245,78.9659,56.87
"16-Sep-2014",61.1015,99.0455,79.0348,56.96
"15-Sep-2014",60.9945,99.0978,79.0306,56.85
"12-Sep-2014",60.84,98.7251,78.6418,56.74
"11-Sep-2014",60.9155,98.6587,78.6358,56.96
"10-Sep-2014",60.8256,98.1482,78.6597,57.12
"09-Sep-2014",60.4277,97.2463,77.9276,56.88
"08-Sep-2014",60.2628,97.5112,77.9439,57.33
"05-Sep-2014",60.4385,98.6417,78.1953,57.36
"04-Sep-2014",60.454,99.4589,79.4607,57.6
"03-Sep-2014",60.5445,99.7289,79.5434,57.71
"02-Sep-2014",60.61,100.4853,79.5627,57.81
"01-Sep-2014",60.4735,100.4283,79.3957,58.06
"28-Aug-2014",60.4745,100.3514,79.862,58.27
"27-Aug-2014",60.4678,100.1468,79.6545,58.17
"26-Aug-2014",60.496,100.3266,79.91,58.24
"25-Aug-2014",60.427,100.1155,79.7436,58.01
"22-Aug-2014",60.436,100.2391,80.3535,58.29
"21-Aug-2014",60.767,100.7213,80.559,58.53
"20-Aug-2014",60.669,100.8076,80.7255,58.8
"19-Aug-2014",60.726,101.4792,81.0432,59.19
"14-Aug-2014",61.0583,101.8391,81.5552,59.55
"13-Aug-2014",61.2458,103.0154,81.899,59.91
"12-Aug-2014",61.1847,102.5578,81.7762,59.81
"11-Aug-2014",61.1165,102.5352,81.874,59.85
"08-Aug-2014",61.5575,103.5028,82.4125,60.64
"07-Aug-2014",61.4123,103.4245,82.1672,60.04
"06-Aug-2014",61.336,103.437,81.963,59.8
"05-Aug-2014",60.869,102.6738,81.6955,59.38
"04-Aug-2014",61.0187,102.6945,81.9061,59.41
"01-Aug-2014",60.851,102.6861,81.4615,59.11
"31-Jul-2014",60.246,101.9242,80.6985,58.61
"30-Jul-2014",60.1485,101.9216,80.635,58.9
"28-Jul-2014",60.1013,102.04,80.7385,59
"25-Jul-2014",60.1448,102.2161,81.0173,59.11
"24-Jul-2014",60.002,102.1894,80.6785,59.13
"23-Jul-2014",60.183,102.6842,81.0305,59.34
"22-Jul-2014",60.236,102.865,81.4414,59.32
"21-Jul-2014",60.1853,102.8687,81.4821,59.45
"18-Jul-2014",60.33,103.1824,81.5848,59.54
"17-Jul-2014",60.1401,103.0019,81.334,59.25
"16-Jul-2014",60.1903,103.1361,81.656,59.19
"15-Jul-2014",60.2195,102.7947,81.951,59.27
"14-Jul-2014",60.005,102.7166,81.599,59.18
"11-Jul-2014",60.1855,103.1459,81.872,59.41
"10-Jul-2014",59.875,102.5898,81.6925,59
"09-Jul-2014",59.726,102.3584,81.38,58.79
"08-Jul-2014",59.7968,102.42,81.3225,58.73
"07-Jul-2014",59.9455,102.7826,81.3923,58.71
"04-Jul-2014",59.7939,102.6601,81.3203,58.6
"03-Jul-2014",59.7225,102.4539,81.5415,58.62
"02-Jul-2014",59.9745,102.8982,82.022,59.05
"01-Jul-2014",60.137,102.8343,82.283,59.27
"30-Jun-2014",60.0933,102.3269,82.0094,59.28
"27-Jun-2014",60.0958,102.3972,81.882,59.27
"26-Jun-2014",60.1618,102.2329,82.044,59.12
