"Trade Date ","1 USD ","1 GBP ","1 EURO ","100 YEN "
"31-Dec-2012",54.7773,88.5092,72.2605,63.66
"28-Dec-2012",54.8473,88.3974,72.6298,63.46
"27-Dec-2012",54.8465,88.5497,72.633,63.98
"26-Dec-2012",54.9635,88.6781,72.4525,64.46
"24-Dec-2012",55.0858,89.0958,72.6164,65.29
"21-Dec-2012",55.086,89.5368,72.773,65.5
"20-Dec-2012",54.842,89.1128,72.4667,65.31
"19-Dec-2012",54.7365,89.018,72.4775,64.92
"18-Dec-2012",54.849,88.9267,72.244,65.31
"17-Dec-2012",54.629,88.4006,71.8595,65
"14-Dec-2012",54.388,87.7822,71.292,64.86
"13-Dec-2012",54.232,87.5304,70.944,64.86
"12-Dec-2012",54.2725,87.4276,70.547,65.66
"11-Dec-2012",54.316,87.3619,70.3615,65.98
"10-Dec-2012",54.3405,87.0888,70.132,65.94
"07-Dec-2012",54.2018,86.9993,70.2175,65.77
"06-Dec-2012",54.465,87.6287,71.115,66.1
"05-Dec-2012",54.569,87.8997,71.529,66.34
"04-Dec-2012",54.9473,88.4212,71.71,66.94
"03-Dec-2012",54.561,87.4558,71.0815,66.27
"30-Nov-2012",54.5265,87.4823,70.888,66.17
"29-Nov-2012",55.202,88.3756,71.47,67.2
"27-Nov-2012",55.7045,89.3444,72.35,67.72
"26-Nov-2012",55.692,89.1963,72.1005,67.84
"23-Nov-2012",55.3445,88.2966,71.3665,67.24
"22-Nov-2012",55.1575,88.0314,70.8575,66.89
"21-Nov-2012",55.2025,87.7913,70.4255,67.39
"20-Nov-2012",54.91,87.3838,70.238,67.55
"19-Nov-2012",54.9665,87.4957,70.1595,67.65
"16-Nov-2012",54.9915,87.211,70.223,67.88
"15-Nov-2012",54.959,87.1045,70.0345,68.03
"12-Nov-2012",54.934,87.3835,69.9335,69.13
"09-Nov-2012",54.34,86.9685,69.4274,68.31
"08-Nov-2012",54.4403,87.001,69.4755,68.12
"07-Nov-2012",54.252,87.0039,69.8325,67.77
"06-Nov-2012",54.5955,87.3091,69.8635,68.19
"02-Nov-2012",53.6645,86.3676,69.2425,66.85
"01-Nov-2012",53.7798,86.7683,69.7105,67.25
"31-Oct-2012",54.1175,87.0751,70.1495,67.99
"30-Oct-2012",54.165,86.8319,69.8495,68.22
"29-Oct-2012",53.8065,86.5209,69.4965,67.51
"25-Oct-2012",53.63,86.178,69.7455,66.91
"23-Oct-2012",53.5895,85.8129,69.907,67.09
"22-Oct-2012",53.6735,86.0494,70.0675,67.45
"19-Oct-2012",53.7175,86.1468,70.169,67.71
"18-Oct-2012",52.969,85.4549,69.456,66.94
"17-Oct-2012",52.751,85.0768,69.0385,67.07
"16-Oct-2012",52.8193,84.9598,68.6125,66.95
"15-Oct-2012",53.1198,85.1457,68.602,67.65
"12-Oct-2012",52.7,84.5097,68.1585,67.21
"11-Oct-2012",53.073,84.9486,68.2365,68.06
"10-Oct-2012",53.0445,84.8341,68.21,67.82
"09-Oct-2012",52.375,83.999,67.9895,66.85
"08-Oct-2012",52.2145,84.0027,67.7515,66.46
"05-Oct-2012",51.6185,83.5704,67.1735,65.83
"04-Oct-2012",51.9755,83.6754,67.198,66.14
"03-Oct-2012",52.3345,84.3004,67.4485,66.89
"28-Sep-2012",52.697,85.7117,68.1485,68
"27-Sep-2012",53.255,86.2332,68.6385,68.56
"26-Sep-2012",53.5785,86.6043,68.939,68.93
"25-Sep-2012",53.534,86.8214,69.0295,68.86
"24-Sep-2012",53.293,86.4359,68.951,68.28
"21-Sep-2012",53.9055,87.6018,70.0095,68.98
"20-Sep-2012",54.3375,87.9072,70.5725,69.49
"18-Sep-2012",54.257,88.1459,71.0335,68.99
"17-Sep-2012",53.974,87.5242,70.8415,68.95
"14-Sep-2012",54.727,88.6085,71.3415,70.55
"13-Sep-2012",55.443,89.3076,71.616,71.33
"12-Sep-2012",55.2605,88.8534,71.131,70.93
"11-Sep-2012",55.5223,88.8468,70.85,70.99
"10-Sep-2012",55.339,88.5037,70.7425,70.71
"07-Sep-2012",55.523,88.4926,70.2025,70.31
"06-Sep-2012",55.9735,89.0203,70.614,71.39
"05-Sep-2012",55.895,88.6271,70.025,71.33
"04-Sep-2012",55.536,88.23,70.019,70.85
"03-Sep-2012",55.454,87.9833,69.6955,70.83
"31-Aug-2012",55.7215,87.9508,69.6555,71.04
"30-Aug-2012",55.6485,88.1027,69.836,70.78
"29-Aug-2012",55.6653,88.0458,69.9158,70.9
"28-Aug-2012",55.7795,88.0424,69.621,71.01
"27-Aug-2012",55.593,87.8703,69.496,70.62
"24-Aug-2012",55.382,87.7971,69.476,70.47
"23-Aug-2012",55.1855,87.6511,69.1584,70.3
"22-Aug-2012",55.5105,87.5956,69.1465,70.01
"21-Aug-2012",55.5405,87.393,68.7185,70.05
"17-Aug-2012",55.7023,87.5473,68.851,70.18
"16-Aug-2012",55.989,87.55,68.6855,70.64
"14-Aug-2012",55.6435,87.3102,68.8135,70.85
"13-Aug-2012",55.418,86.779,68.0311,70.79
"10-Aug-2012",55.344,86.4501,68.0425,70.51
"09-Aug-2012",55.1715,86.4262,68.269,70.28
"08-Aug-2012",55.145,86.0041,68.3135,70.38
"07-Aug-2012",55.4995,86.3961,68.699,70.92
