"Trade Date ","1 USD ","1 GBP ","1 EURO ","100 YEN "
"31-Dec-2019",71.3449,93.5536,79.883,65.37
"30-Dec-2019",71.3449,93.5536,79.883,65.37
"27-Dec-2019",71.2214,92.5532,79.1859,65.04
"26-Dec-2019",71.2699,92.5549,79.0264,65.05
"24-Dec-2019",71.1959,92.1522,78.9487,65.07
"23-Dec-2019",71.1699,92.6613,78.8814,65.04
"20-Dec-2019",71.1569,92.6164,79.1051,65.09
"19-Dec-2019",71.0813,92.9995,79.0974,64.86
"18-Dec-2019",71.0611,93.1284,79.137,64.93
"17-Dec-2019",70.9687,94.2242,79.1008,64.78
"16-Dec-2019",70.941,94.9645,79.0084,64.85
"13-Dec-2019",70.7178,95.2767,78.9748,64.53
"12-Dec-2019",70.7494,93.4651,78.8101,65.15
"11-Dec-2019",70.8679,93.1011,78.5816,65.17
"10-Dec-2019",70.8962,93.2739,78.4575,65.27
"09-Dec-2019",71.162,93.7455,78.7189,65.54
"06-Dec-2019",71.3165,93.8772,79.1927,65.61
"05-Dec-2019",71.5476,93.8137,79.2924,65.76
"04-Dec-2019",71.78,93.2719,79.504,66.11
"03-Dec-2019",71.6006,92.6622,79.2938,65.59
"02-Dec-2019",71.7217,92.6496,79.0249,65.41
"29-Nov-2019",71.7255,92.6631,78.975,65.51
"28-Nov-2019",71.5147,92.5867,78.731,65.33
"27-Nov-2019",71.3627,91.6711,78.5632,65.37
"26-Nov-2019",71.5909,92.3231,78.854,65.7
"25-Nov-2019",71.6468,92.0599,78.9982,65.81
"22-Nov-2019",71.8514,92.8291,79.5218,66.14
"21-Nov-2019",71.7996,92.813,79.5152,66.12
"20-Nov-2019",71.6756,92.526,79.3645,66.05
"19-Nov-2019",71.8138,93.0932,79.5625,66.12
"18-Nov-2019",71.7131,92.7011,79.3166,65.89
"15-Nov-2019",71.7109,92.366,79.0445,66.04
"14-Nov-2019",72.0501,92.4273,79.2359,66.28
"13-Nov-2019",71.7002,92.1735,78.9744,65.74
"11-Nov-2019",71.445,91.4191,78.7533,65.57
"08-Nov-2019",71.2494,91.2662,78.7311,65.21
"07-Nov-2019",71.0079,91.2409,78.5523,65.3
"06-Nov-2019",70.8861,91.3207,78.5116,65
"05-Nov-2019",70.7283,91.1113,78.7046,65.01
"04-Nov-2019",70.6821,91.4174,78.9312,65.3
"01-Nov-2019",70.8798,91.8465,79.1198,65.65
"31-Oct-2019",70.8095,91.5,79.0338,65.15
"30-Oct-2019",70.9915,91.3594,78.8929,65.23
"29-Oct-2019",70.7303,90.9115,78.4418,64.9
"25-Oct-2019",70.9593,91.1889,78.8121,65.3
"24-Oct-2019",70.9338,91.6346,78.981,65.3
"23-Oct-2019",70.9373,91.3275,78.9225,65.44
"22-Oct-2019",70.8731,91.9602,79.0641,65.26
"18-Oct-2019",71.1988,91.518,79.1854,65.58
"16-Oct-2019",71.5051,91.3506,79.0184,65.77
"15-Oct-2019",71.3186,90.4134,78.7419,65.82
"14-Oct-2019",71.0188,89.2891,78.2925,65.61
"11-Oct-2019",71.0272,88.4298,78.2421,65.78
"10-Oct-2019",71.0516,86.8592,78.0544,66.1
"09-Oct-2019",71.1121,86.7904,77.9284,66.35
"07-Oct-2019",70.9763,87.4182,77.9282,66.41
"04-Oct-2019",70.8703,87.5229,77.7844,66.36
"03-Oct-2019",71.1163,87.4195,77.8927,66.39
"01-Oct-2019",70.9109,87.0554,77.1752,65.49
"30-Sep-2019",70.685,86.9256,77.3284,65.55
"27-Sep-2019",70.8381,87.3259,77.3203,65.71
"26-Sep-2019",70.9021,87.6766,77.6619,65.87
"25-Sep-2019",71.0395,88.5498,78.1425,66.18
"24-Sep-2019",70.8477,88.1152,77.8611,65.88
"23-Sep-2019",70.9212,88.4799,78.1835,65.83
"20-Sep-2019",70.937,89.2142,78.4407,65.76
"18-Sep-2019",71.3132,89.0626,78.9052,65.9
