"Trade Date ","1 USD ","1 GBP ","1 EURO ","100 YEN "
"30-Dec-2011",53.266,82.0989,68.9005,68.68
"29-Dec-2011",53.3585,82.5082,68.9881,68.67
"28-Dec-2011",53.2145,83.3179,69.5113,68.39
"27-Dec-2011",52.8945,82.7111,69.1508,67.9
"26-Dec-2011",52.8205,82.4739,68.9345,67.75
"23-Dec-2011",52.722,82.705,68.9048,67.53
"22-Dec-2011",52.7825,82.7313,68.8775,67.63
"21-Dec-2011",52.675,82.5259,69.1277,67.72
"20-Dec-2011",53.027,82.3403,68.9987,68.03
"19-Dec-2011",52.9575,82.0365,68.9065,67.95
"16-Dec-2011",52.814,82.0043,68.8091,67.8
"15-Dec-2011",54.2355,83.7667,70.4602,69.49
"14-Dec-2011",53.577,82.9747,69.8925,68.75
"13-Dec-2011",53.403,83.3247,70.4435,68.58
"12-Dec-2011",52.4238,81.9227,69.9405,67.52
"09-Dec-2011",52.2285,81.5496,69.6008,67.33
"08-Dec-2011",51.778,81.3225,69.4246,66.69
"07-Dec-2011",51.449,80.3788,69.1235,66.19
"05-Dec-2011",51.3925,80.2031,68.9227,65.91
"02-Dec-2011",51.3523,80.505,69.138,66.02
"01-Dec-2011",51.652,81.0575,69.5086,66.5
"30-Nov-2011",52.165,81.2887,69.4735,66.93
"29-Nov-2011",51.9308,80.6226,69.3658,66.55
"28-Nov-2011",51.983,80.5892,69.1243,66.98
"25-Nov-2011",52.1665,80.6442,69.4263,67.39
"24-Nov-2011",52.25,81.2279,69.8261,67.75
"23-Nov-2011",52.1005,81.3028,70.0732,67.61
"22-Nov-2011",52.7015,82.4436,71.0788,68.41
"21-Nov-2011",51.7165,81.4173,69.8883,67.31
"18-Nov-2011",51.353,80.9734,69.2589,66.8
"17-Nov-2011",50.722,79.877,68.4619,65.86
"16-Nov-2011",50.901,80.304,68.475,66.06
"15-Nov-2011",50.5645,80.299,68.7875,65.6
"14-Nov-2011",50.0845,80.3631,68.8325,64.93
"11-Nov-2011",50.2795,80.0776,68.446,64.83
"09-Nov-2011",49.781,80.1051,68.8169,64.16
"08-Nov-2011",49.38,79.1981,67.8411,63.27
"04-Nov-2011",49.084,78.6522,67.791,62.85
"03-Nov-2011",49.3748,78.4961,67.592,63.26
"02-Nov-2011",49.2508,78.7348,67.6445,63.06
"01-Nov-2011",49.0775,78.7817,67.7597,62.82
"31-Oct-2011",48.873,78.1137,68.3616,61.51
"28-Oct-2011",48.821,78.5676,69.2853,64.36
"25-Oct-2011",49.6598,79.3862,69.151,65.28
"24-Oct-2011",49.8745,79.7294,69.5253,65.37
"21-Oct-2011",50.067,79.1559,69.035,65.26
"20-Oct-2011",49.711,78.086,68.0541,64.78
"19-Oct-2011",49.1775,77.4939,67.9645,64.07
"18-Oct-2011",49.136,77.5833,67.5815,63.97
"17-Oct-2011",48.8925,77.3113,67.788,63.39
"14-Oct-2011",49.0675,77.4187,67.7248,63.78
"13-Oct-2011",49.0228,77.1276,67.5553,63.61
"12-Oct-2011",49.241,76.8012,67.1707,64.19
"11-Oct-2011",49.0333,76.5998,66.8029,63.93
"10-Oct-2011",49.071,76.6538,66.167,63.95
"07-Oct-2011",49.1355,75.9733,65.9981,64.11
"05-Oct-2011",49.1918,75.9177,65.4394,64.14
"04-Oct-2011",49.225,76.0674,65.064,64.25
"03-Oct-2011",49.424,76.7209,65.8478,64.15
"29-Sep-2011",48.9253,76.5192,66.6458,63.9
"28-Sep-2011",48.912,76.5326,66.4313,63.93
"27-Sep-2011",49.1775,76.653,66.6331,64.41
"26-Sep-2011",49.617,76.6781,66.471,65.03
"23-Sep-2011",49.673,76.5064,66.9815,65.1
"22-Sep-2011",48.8205,75.4814,66.1025,63.61
"21-Sep-2011",47.89,75.3094,65.6372,62.8
"20-Sep-2011",48.2225,75.6322,65.6462,63.02
"19-Sep-2011",47.792,75.0573,65.3544,62.18
"16-Sep-2011",47.467,74.9599,65.7906,61.81
"15-Sep-2011",47.8435,75.4014,65.677,62.38
"14-Sep-2011",47.8055,75.1622,65.1143,62.19
"13-Sep-2011",47.0963,74.6406,64.4222,61.16
