"Trade Date ","1 USD ","1 GBP ","1 EURO ","100 YEN "
"31-Dec-2008",48.45,,,
"30-Dec-2008",48.5,,,
"29-Dec-2008",48.76,,,
"26-Dec-2008",47.89,,,
"24-Dec-2008",48.99,,,
"23-Dec-2008",48.49,,,
"22-Dec-2008",47.39,,,
"19-Dec-2008",47.08,,,
"18-Dec-2008",47.28,,,
"17-Dec-2008",47.33,,,
"16-Dec-2008",47.82,,,
"15-Dec-2008",47.94,,,
"12-Dec-2008",48.71,,,
"11-Dec-2008",48.52,,,
"10-Dec-2008",49.12,,,
"08-Dec-2008",49.22,,,
"05-Dec-2008",49.69,,,
"04-Dec-2008",49.79,,,
"03-Dec-2008",49.9,,,
"02-Dec-2008",50.52,,,
"01-Dec-2008",50.09,,,
"28-Nov-2008",49.84,,,
"26-Nov-2008",49.85,,,
"25-Nov-2008",49.97,,,
"24-Nov-2008",50.09,,,
"21-Nov-2008",50.03,,,
"20-Nov-2008",50.52,,,
"19-Nov-2008",49.74,,,
"18-Nov-2008",49.68,,,
"17-Nov-2008",48.99,,,
"14-Nov-2008",49.46,,,
"12-Nov-2008",48.79,,,
"11-Nov-2008",47.59,,,
"10-Nov-2008",47.32,,,
"07-Nov-2008",47.76,,,
"06-Nov-2008",47.67,,,
"05-Nov-2008",47.18,,,
"04-Nov-2008",48.62,,,
"03-Nov-2008",48.96,,,
"31-Oct-2008",49.25,,,
"29-Oct-2008",49.77,,,
"27-Oct-2008",50.09,,,
"24-Oct-2008",49.95,,,
"23-Oct-2008",49.79,,,
"22-Oct-2008",49.29,,,
"20-Oct-2008",48.83,,,
"17-Oct-2008",48.68,,,
"16-Oct-2008",48.86,,,
"15-Oct-2008",48.43,,,
"14-Oct-2008",47.71,,,
"13-Oct-2008",48.14,,,
"10-Oct-2008",48.72,,,
"08-Oct-2008",48.74,,,
"07-Oct-2008",48.01,,,
"06-Oct-2008",47.46,,,
"03-Oct-2008",46.88,,,
"01-Oct-2008",46.96,,,
"29-Sep-2008",46.94,,,
"26-Sep-2008",46.43,,,
"25-Sep-2008",46.25,,,
"24-Sep-2008",45.83,,,
"23-Sep-2008",45.72,,,
"22-Sep-2008",45.4,,,
"19-Sep-2008",46.32,,,
"18-Sep-2008",46.71,,,
"17-Sep-2008",46.34,,,
"16-Sep-2008",46.63,,,
"15-Sep-2008",45.94,,,
"12-Sep-2008",45.77,,,
"11-Sep-2008",45.44,,,
"10-Sep-2008",45.12,,,
"09-Sep-2008",44.89,,,
"08-Sep-2008",44.26,,,
"05-Sep-2008",44.37,,,
"04-Sep-2008",44.45,,,
"02-Sep-2008",44.26,,,
"01-Sep-2008",44.21,,,
"29-Aug-2008",43.79,,,
