"Trade Date ","1 USD ","1 GBP ","1 EURO ","100 YEN "
"31-Dec-2018",69.7923,88.5488,79.7805,63.21
"28-Dec-2018",69.9786,88.6564,80.1805,63.28
"27-Dec-2018",70.327,88.9829,80.0223,63.25
"26-Dec-2018",69.9906,88.9581,79.8196,63.36
"24-Dec-2018",70.1757,88.871,79.8824,63.16
"21-Dec-2018",70.0368,88.7016,80.2127,62.87
"20-Dec-2018",70.2835,88.8454,80.0548,62.79
"19-Dec-2018",70.1094,88.7431,79.8153,62.38
"18-Dec-2018",71.194,89.8829,80.7554,63.21
"17-Dec-2018",71.673,90.1981,81.0717,63.17
"14-Dec-2018",71.7359,90.5809,81.4628,63.2
"13-Dec-2018",71.5368,90.3095,81.3407,63.06
"12-Dec-2018",72.0407,90.0393,81.5928,63.5
"11-Dec-2018",71.9274,90.4266,81.7325,63.57
"10-Dec-2018",71.3257,90.9108,81.5738,63.43
"07-Dec-2018",70.5663,90.1212,80.2245,62.53
"06-Dec-2018",71.0371,90.2953,80.5457,62.99
"05-Dec-2018",70.5171,89.4458,79.8366,62.37
"04-Dec-2018",70.3455,89.645,80.079,62.21
"03-Dec-2018",70.028,89.5005,79.5887,61.69
"30-Nov-2018",69.6574,89.0848,79.3588,61.43
"29-Nov-2018",69.9159,89.7389,79.5801,61.71
"28-Nov-2018",70.6881,90.1368,79.8752,62.08
"27-Nov-2018",70.9065,90.8369,80.4207,62.49
"26-Nov-2018",70.7144,90.6478,80.266,62.47
"22-Nov-2018",71.1787,91.0423,81.1883,62.97
"20-Nov-2018",71.3276,91.7197,81.6867,63.4
"19-Nov-2018",71.9007,92.1983,81.9419,63.74
"16-Nov-2018",71.8023,91.9247,81.4626,63.37
"15-Nov-2018",72.16,93.9518,81.8256,63.55
"14-Nov-2018",72.1039,93.6961,81.4361,63.31
"13-Nov-2018",72.5853,93.4908,81.611,63.69
"12-Nov-2018",72.9078,93.9947,82.4315,63.91
"09-Nov-2018",72.7347,94.8737,82.5195,63.84
"06-Nov-2018",73.0097,95.302,83.2632,64.37
"05-Nov-2018",73.074,94.9845,83.2566,64.5
"02-Nov-2018",72.8798,94.753,83.2292,64.47
"01-Nov-2018",73.8295,94.8182,83.7261,65.4
"31-Oct-2018",73.9936,94.1016,83.925,65.36
"30-Oct-2018",73.5709,94.184,83.7114,65.28
"29-Oct-2018",73.4181,94.2644,83.6942,65.62
"26-Oct-2018",73.374,94.0503,83.4077,65.41
"25-Oct-2018",73.2746,94.619,83.6478,65.33
"24-Oct-2018",73.2645,95.0529,83.9934,65.13
"23-Oct-2018",73.7818,95.5568,84.4743,65.62
"22-Oct-2018",73.3025,95.9305,84.573,65.02
"19-Oct-2018",73.4354,95.6525,84.1741,65.27
"17-Oct-2018",73.4846,96.8684,84.98,65.47
"16-Oct-2018",73.9041,97.3327,85.575,65.95
"15-Oct-2018",73.9708,97.0832,85.4895,66.08
"12-Oct-2018",73.7967,97.6537,85.5545,65.67
"11-Oct-2018",74.3875,98.2961,85.9012,66.29
"10-Oct-2018",74.1316,97.6284,85.2637,65.6
"09-Oct-2018",74.0989,96.9895,85.108,65.51
"08-Oct-2018",73.9235,96.8575,85.0613,64.96
"05-Oct-2018",73.5809,95.8877,84.6975,64.59
"04-Oct-2018",73.7509,95.3904,84.6257,64.49
"03-Oct-2018",73.0299,94.988,84.5784,64.18
"01-Oct-2018",72.8036,94.8825,84.3799,63.89
"28-Sep-2018",72.5474,94.908,84.4428,63.9
"27-Sep-2018",72.6505,95.4347,85.0418,64.47
"26-Sep-2018",72.7182,95.7699,85.5365,64.42
"25-Sep-2018",72.8134,95.5016,85.6237,64.47
